Year,Competition,Game,Odd group,House,Home,Draw,Away
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Winner,2.00,3.25,3.90
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Tipbet,1.95,3.25,4.00
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Sbobet,1.98,3.35,3.60
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Pinnacle,1.98,3.35,4.51
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,OddsRing,2.01,3.18,4.42
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Marathon,1.96,3.42,4.50
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Intertops,1.95,3.10,3.85
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Expekt,1.90,3.15,4.00
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Dafabet,2.03,3.30,3.55
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Bwin,2.00,3.10,3.60
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,BetVictor,1.95,3.30,4.20
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Betsson,1.95,3.25,4.00
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Betcris,1.99,3.31,4.08
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,Bet-at-home,1.93,3.17,3.90
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,5Dimes,2.02,3.37,4.31
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,188Bet,1.98,3.40,3.95
2018,FootballBrazilSerie A,America MG -  Sport Recife,2018-04-15 16:00America MG - Sport RecifeFinal result odds,10Bet,1.95,3.30,4.10
2018,FootballBrazilSerie A,Vasco da Gama -  Atletico Mineiro,2018-04-15 21:00Vasco da Gama - Atletico MineiroFinal result odds,Winner,2.65,3.20,2.70
2018,FootballBrazilSerie A,Vasco da Gama -  Atletico Mineiro,2018-04-15 21:00Vasco da Gama - Atletico MineiroFinal result odds,Tipbet,2.80,3.15,2.55
2018,FootballBrazilSerie A,Vasco da Gama -  Atletico Mineiro,2018-04-15 21:00Vasco da Gama - Atletico MineiroFinal result odds,Sbobet,2.85,3.10,2.46
2018,FootballBrazilSerie A,Vasco da Gama -  Atletico Mineiro,2018-04-15 21:00Vasco da Gama - Atletico MineiroFinal result odds,Pinnacle,2.98,3.22,2.64
