Year,Competition,Game,Odd group,House,Home,Draw,Away
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Winner,1.90,3.50,4.00
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,WilliamHill,2.15,3.10,3.30
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Unibet,1.88,3.30,3.80
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Titanbet,2.40,3.10,3.10
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Tipbet,1.85,3.55,4.05
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Sbobet,1.87,3.45,3.90
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Pinnacle,1.91,3.70,4.34
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,OddsRing,1.90,3.61,4.23
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Marathon,1.89,3.65,4.50
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Intertops,1.80,3.40,3.90
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Expekt,1.85,3.30,4.00
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Dafabet,1.93,3.50,3.65
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Bwin,1.95,3.20,3.70
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,BetVictor,1.87,3.50,4.30
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Betsson,1.82,3.45,4.00
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,BetGun,1.95,3.30,3.75
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Betcris,1.93,3.61,3.88
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Betclic,1.85,3.40,3.90
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Bet365,1.75,3.50,4.75
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,Bet-at-home,1.82,3.45,3.98
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,888Sport,1.88,3.30,3.80
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,5Dimes,1.93,3.66,4.28
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,188Bet,1.86,3.40,4.00
2017,FootballBrazilSerie A,Flamengo RJ -  Atletico Mineiro,2017-05-13 21:00Flamengo RJ - Atletico MineiroFinal result odds,10Bet,1.87,3.50,4.05
