Year,Competition,Game,Odd group,House,Home,Draw,Away
2009,FootballBrazilSerie A,Flamengo RJ -  Avai SC,2009-05-16 23:30Flamengo RJ - Avai SCFinal result odds,Unibet,1.40,4.00,8.00
2009,FootballBrazilSerie A,Flamengo RJ -  Avai SC,2009-05-16 23:30Flamengo RJ - Avai SCFinal result odds,SportingBet,1.36,4.20,7.50
2009,FootballBrazilSerie A,Flamengo RJ -  Avai SC,2009-05-16 23:30Flamengo RJ - Avai SCFinal result odds,Expekt,1.45,3.85,7.00
2009,FootballBrazilSerie A,Flamengo RJ -  Avai SC,2009-05-16 23:30Flamengo RJ - Avai SCFinal result odds,Bwin,1.45,3.90,6.00
2009,FootballBrazilSerie A,Flamengo RJ -  Avai SC,2009-05-16 23:30Flamengo RJ - Avai SCFinal result odds,Betway,1.45,4.00,5.75
2009,FootballBrazilSerie A,Flamengo RJ -  Avai SC,2009-05-16 23:30Flamengo RJ - Avai SCFinal result odds,Betsson,1.42,4.00,7.00
2009,FootballBrazilSerie A,Flamengo RJ -  Avai SC,2009-05-16 23:30Flamengo RJ - Avai SCFinal result odds,BetGun,1.45,3.90,6.00
2009,FootballBrazilSerie A,Flamengo RJ -  Avai SC,2009-05-16 23:30Flamengo RJ - Avai SCFinal result odds,Betclic,1.45,3.75,6.00
2009,FootballBrazilSerie A,Flamengo RJ -  Avai SC,2009-05-16 23:30Flamengo RJ - Avai SCFinal result odds,Bet-at-home,1.40,3.85,6.75
2009,FootballBrazilSerie A,Atletico Mineiro -  Gremio Porto Alegrense,2009-05-16 23:30Atletico Mineiro - Gremio Porto AlegrenseFinal result odds,Bet-at-home,2.25,3.10,2.80
2009,FootballBrazilSerie A,Atletico Mineiro -  Gremio Porto Alegrense,2009-05-16 23:30Atletico Mineiro - Gremio Porto AlegrenseFinal result odds,Betclic,2.30,3.20,2.65
2009,FootballBrazilSerie A,Atletico Mineiro -  Gremio Porto Alegrense,2009-05-16 23:30Atletico Mineiro - Gremio Porto AlegrenseFinal result odds,BetGun,2.30,3.20,2.75
2009,FootballBrazilSerie A,Atletico Mineiro -  Gremio Porto Alegrense,2009-05-16 23:30Atletico Mineiro - Gremio Porto AlegrenseFinal result odds,Betsson,2.25,3.30,2.85
2009,FootballBrazilSerie A,Atletico Mineiro -  Gremio Porto Alegrense,2009-05-16 23:30Atletico Mineiro - Gremio Porto AlegrenseFinal result odds,Betway,2.25,3.20,2.80
2009,FootballBrazilSerie A,Atletico Mineiro -  Gremio Porto Alegrense,2009-05-16 23:30Atletico Mineiro - Gremio Porto AlegrenseFinal result odds,Bwin,2.25,3.20,2.80
2009,FootballBrazilSerie A,Atletico Mineiro -  Gremio Porto Alegrense,2009-05-16 23:30Atletico Mineiro - Gremio Porto AlegrenseFinal result odds,Expekt,2.40,3.25,2.80
2009,FootballBrazilSerie A,Atletico Mineiro -  Gremio Porto Alegrense,2009-05-16 23:30Atletico Mineiro - Gremio Porto AlegrenseFinal result odds,SportingBet,2.20,3.30,2.90
2009,FootballBrazilSerie A,Atletico Mineiro -  Gremio Porto Alegrense,2009-05-16 23:30Atletico Mineiro - Gremio Porto AlegrenseFinal result odds,Unibet,2.35,3.20,2.85
2009,FootballBrazilSerie A,Coritiba -  Santo Andre,2009-05-16 23:30Coritiba - Santo AndreFinal result odds,Unibet,1.95,3.30,3.65
2009,FootballBrazilSerie A,Coritiba -  Santo Andre,2009-05-16 23:30Coritiba - Santo AndreFinal result odds,SportingBet,1.90,3.25,3.75
2009,FootballBrazilSerie A,Coritiba -  Santo Andre,2009-05-16 23:30Coritiba - Santo AndreFinal result odds,Expekt,1.95,3.25,3.85
2009,FootballBrazilSerie A,Coritiba -  Santo Andre,2009-05-16 23:30Coritiba - Santo AndreFinal result odds,Bwin,1.95,3.35,3.30
2009,FootballBrazilSerie A,Coritiba -  Santo Andre,2009-05-16 23:30Coritiba - Santo AndreFinal result odds,Betway,1.90,3.25,3.50
2009,FootballBrazilSerie A,Coritiba -  Santo Andre,2009-05-16 23:30Coritiba - Santo AndreFinal result odds,Betsson,2.10,3.00,3.45
2009,FootballBrazilSerie A,Coritiba -  Santo Andre,2009-05-16 23:30Coritiba - Santo AndreFinal result odds,BetGun,1.95,3.25,3.45
2009,FootballBrazilSerie A,Coritiba -  Santo Andre,2009-05-16 23:30Coritiba - Santo AndreFinal result odds,Betclic,1.80,3.30,3.80
2009,FootballBrazilSerie A,Coritiba -  Santo Andre,2009-05-16 23:30Coritiba - Santo AndreFinal result odds,Bet-at-home,2.00,3.20,3.20
2009,FootballBrazilSerie A,Santos -  Goias,2009-05-17 21:00Santos - GoiasFinal result odds,Bet-at-home,1.65,3.40,4.50
2009,FootballBrazilSerie A,Santos -  Goias,2009-05-17 21:00Santos - GoiasFinal result odds,Betclic,1.55,3.50,5.25
2009,FootballBrazilSerie A,Santos -  Goias,2009-05-17 21:00Santos - GoiasFinal result odds,BetGun,1.65,3.40,4.80
2009,FootballBrazilSerie A,Santos -  Goias,2009-05-17 21:00Santos - GoiasFinal result odds,Betsson,1.65,3.50,4.85
2009,FootballBrazilSerie A,Santos -  Goias,2009-05-17 21:00Santos - GoiasFinal result odds,Betway,1.65,3.40,4.75
